fasta_id	beta_res	helix_res	beta_strands	helices
6LM3_EMD-0916_A	47	7	13	2
6L62_EMD-0838_A	83	4	15	1
6L62_EMD-0838_B	106	12	20	4
6L62_EMD-0838_C	83	4	15	1
6LNT_EMD-0932_A	0	0	0	0
6LNT_EMD-0932_D	0	0	0	0
6LNT_EMD-0932_G	0	0	0	0
6LNT_EMD-0932_H	0	0	0	0
6LNT_EMD-0932_I	0	0	0	0
6K4M_EMD-9915_A	0	120	0	5
6L6Z_EMD-0840_A	87	176	30	21
6M1D_EMD-30041_A	8	355	4	26
6M1D_EMD-30041_B	38	331	15	35
6LQI_EMD-0946_A	80	799	18	52
6M5V_EMD-30094_A	83	210	21	19
6M5V_EMD-30094_B	18	364	6	28
6M5V_EMD-30094_C	0	53	0	3
6M68_EMD-30116_A	7	158	5	14
6KN8_EMD-0729_A	71	155	21	20
6KN8_EMD-0729_P	0	269	0	1
6KN8_EMD-0729_R	0	26	0	1
6KN8_EMD-0729_T	0	109	0	3
6KN8_EMD-0729_U	0	95	0	3
6KN8_EMD-0729_V	4	89	4	9
6M6Z_EMD-30126_A	0	187	0	4
6KN7_EMD-0728_A	69	154	21	21
6KN7_EMD-0728_P	0	269	0	1
6KN7_EMD-0728_R	0	26	0	1
6KN7_EMD-0728_T	0	120	0	3
6KN7_EMD-0728_U	0	122	0	3
6KN7_EMD-0728_V	6	84	4	9
6LK8_EMD-0909_A	2	1099	2	77
6LK8_EMD-0909_B	19	397	5	28
6LK8_EMD-0909_C	100	0	28	0
6LK8_EMD-0909_D	148	3	32	1
6LK8_EMD-0909_E	186	450	34	41
6LK8_EMD-0909_F	143	0	30	0
6LK8_EMD-0909_G	0	399	0	37
6LK8_EMD-0909_H	143	13	27	3
6LK8_EMD-0909_I	6	517	6	42
6LK8_EMD-0909_J	179	413	38	36
6LK8_EMD-0909_K	0	63	0	1
6PSN_EMD-20459_A	240	86	39	16
6PSN_EMD-20459_H	21	122	6	13
6LT4_EMD-0967_A	72	314	19	29
6ROW_EMD-4975_A	20	316	8	29
6ROW_EMD-4975_E	74	25	24	4
6ROW_EMD-4975_G	18	44	7	6
6RRT_EMD-4990_A	59	23	6	3
6RWY_EMD-10046_BA	0	173	0	12
6RWY_EMD-10046_CA	0	73	0	2
6RWY_EMD-10046_L	0	66	0	2
6RWY_EMD-10046_W	0	154	0	10
6S2F_EMD-10089_A	219	411	45	32
6S2F_EMD-10089_B	84	131	17	15
6S2F_EMD-10089_C	10	4	2	1
6S2F_EMD-10089_D	71	14	9	2
6M6G_EMD-30123_A	170	395	66	51
6M6G_EMD-30123_F	160	376	63	45
6M6G_EMD-30123_H	49	100	16	10
6M6G_EMD-30123_N	40	52	19	8
6M6G_EMD-30123_R	93	187	27	24
6M6G_EMD-30123_S	40	52	19	8
6M6G_EMD-30123_U	0	37	0	5
6M6H_EMD-30124_A	135	374	58	44
6M6H_EMD-30124_G	93	185	27	25
6M6H_EMD-30124_H	4	31	4	3
6M6H_EMD-30124_J	0	34	0	4
6M6H_EMD-30124_P	0	28	0	3
6M6H_EMD-30124_R	49	100	16	10
6M6H_EMD-30124_T	40	52	19	8
6SH5_EMD-10194_A	81	117	14	14
6SKM_EMD-10228_A	6	130	2	11
6SKN_EMD-10229_A	6	129	2	11
6SLU_EMD-10240_A	6	130	2	11
6SIH_EMD-10210_A	95	207	23	12
6SMU_EMD-10246_A	6	130	2	11
6SMX_EMD-10247_A	295	126	55	14
6SMX_EMD-10247_B	133	4	39	1
6SMX_EMD-10247_C	0	7	0	2
6SMX_EMD-10247_D	0	160	0	11
6SMX_EMD-10247_E	35	14	7	2
6SZA_EMD-10351_A	69	196	24	17
6SO3_EMD-7029_A	87	222	22	26
6SO3_EMD-7029_B	93	312	27	33
6SO3_EMD-7029_C	6	54	4	7
6T6V_EMD-10387_A	15	446	7	35
6SZB_EMD-10352_A	69	192	24	16
6TA4_EMD-10422_A	30	216	13	16
6TA4_EMD-10422_B	41	216	14	15
6TA4_EMD-10422_C	77	115	17	10
6T7S_EMD-10371_A	165	432	38	49
6TGB_EMD-10497_B	40	367	18	30
6SB5_EMD-10135_A	167	67	31	7
6LSY_EMD-0965_A	75	316	21	33
6TMW_EMD-10529_A	76	277	25	25
6TY3_EMD-10615_A	95	228	25	22
6TY4_EMD-10616_A	101	225	29	22
6TMX_EMD-10530_A	78	285	26	24
6TZ9_EMD-20590_A	0	0	0	0
6TZA_EMD-20591_A	0	140	0	9
6U68_EMD-20662_A	49	152	12	13
6U1S_EMD-20613_A	0	277	0	8
6U6E_EMD-20664_A	44	137	12	13
6U6H_EMD-20665_A	44	137	12	13
6UBY_EMD-20721_A	68	148	20	17
6UBY_EMD-20721_I	46	44	14	7
6UC0_EMD-20724_A	65	148	19	17
6UC0_EMD-20724_H	47	44	15	7
6UVT_EMD-20916_A	10	99	3	8
6UX7_EMD-20930_A	49	148	12	13
6UXA_EMD-20931_A	49	148	12	13
6UXB_EMD-20932_A	49	148	12	13
6UXV_EMD-20933_A	0	79	0	3
6UXV_EMD-20933_B	6	258	4	21
6UXV_EMD-20933_C	33	66	8	7
6UXV_EMD-20933_D	2	66	1	8
6UXV_EMD-20933_H	7	160	3	11
6UXV_EMD-20933_I	0	56	0	5
6V6C_EMD-21068_A	2	305	2	21
6V86_EMD-21096_A	98	909	33	82
6V86_EMD-21096_B	0	61	0	2
6V9I_EMD-21121_A	61	492	15	34
6V9I_EMD-21121_B	28	12	8	2
6VAB_EMD-21135_A	59	24	12	3
6VAB_EMD-21135_B	0	198	0	13
6VAC_EMD-21136_A	0	528	0	37
6VAC_EMD-21136_B	135	3	31	1
6VAC_EMD-21136_C	61	25	12	3
6VE4_EMD-21154_A	168	52	14	7
6VEJ_EMD-21363_A	152	522	37	36
6VEJ_EMD-21363_D	43	7	16	2
6VFI_EMD-21173_A	0	163	0	8
6VFI_EMD-21173_B	0	93	0	7
6VFJ_EMD-21174_A	29	74	7	6
6VFJ_EMD-21174_B	0	96	0	7
6VL6_EMD-21231_A	0	95	0	7
6VL6_EMD-21231_B	0	79	0	6
6VM1_EMD-21235_A	60	211	30	21
6VM1_EMD-21235_D	70	178	26	15
6VM1_EMD-21235_G	0	143	0	2
6VM1_EMD-21235_H	0	123	0	3
6VM1_EMD-21235_I	0	143	0	2
6VM1_EMD-21235_J	0	123	0	3
6VM1_EMD-21235_K	32	35	9	2
6VM1_EMD-21235_L	36	164	11	6
6VM1_EMD-21235_M	0	69	0	2
6VM4_EMD-21238_A	94	209	23	19
6VM4_EMD-21238_D	82	186	25	17
6VM4_EMD-21238_G	0	145	0	2
6VM4_EMD-21238_H	0	126	0	3
6VM4_EMD-21238_I	0	145	0	2
6VM4_EMD-21238_J	0	126	0	3
6VM4_EMD-21238_K	47	39	10	2
6VM4_EMD-21238_L	41	173	12	6
6VM4_EMD-21238_M	0	68	0	2
6Q7L_EMD-4469_A	79	241	34	24
6Q7L_EMD-4469_U	65	185	22	17
6Q7L_EMD-4469_V	63	195	22	17
6VMB_EMD-21239_A	84	215	26	20
6VMB_EMD-21239_D	74	161	21	14
6VMB_EMD-21239_G	0	147	0	2
6VMB_EMD-21239_H	0	129	0	2
6VMB_EMD-21239_I	0	147	0	2
6VMB_EMD-21239_J	0	129	0	2
6VMB_EMD-21239_K	39	32	10	3
6VMB_EMD-21239_L	34	172	11	5
6VMB_EMD-21239_M	0	68	0	2
6Q7M_EMD-4470_A	93	247	33	25
6Q7M_EMD-4470_U	64	179	22	17
6VMG_EMD-21241_A	76	224	23	21
6VMG_EMD-21241_B	84	210	21	19
6VMG_EMD-21241_C	96	195	23	19
6VMG_EMD-21241_D	89	178	19	15
6VMG_EMD-21241_E	88	183	24	20
6VMG_EMD-21241_F	102	179	23	18
6VMG_EMD-21241_G	0	67	0	2
6VMG_EMD-21241_H	76	224	23	21
6VMG_EMD-21241_I	0	144	0	2
6VMD_EMD-21240_A	75	207	23	19
6VMD_EMD-21240_D	68	162	21	16
6VMD_EMD-21240_G	20	107	4	8
6VMD_EMD-21240_H	31	35	12	2
6VMD_EMD-21240_I	38	172	10	5
6VQJ_EMD-21352_A	51	187	12	9
6VQJ_EMD-21352_B	0	60	0	1
